Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 28, 2025"
Statement,Data,WhenGenerated,"2025-01-29, 01:36:44 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,66767857.99359684,66741712.753844686,-0.000218643,66741712.75362604,-26145.239970796
Net Asset Value,Data,Options,0,36128.2,-1135,34993.2,34993.2
Net Asset Value,Data,Interest Accruals,-472907.6566949,0,-489435.5811874,-489435.5811874,-16527.9244925
Net Asset Value,Data,Dividend Accruals,11487.87,11495.97,-8.1,11487.87,0
Net Asset Value,Data,Total,66306438.20690194,66789336.92384469,-490578.681406043,66298758.242438644,-7679.964463294
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-0.011582532%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,66306438.20690194
Change in NAV,Data,Mark-to-Market,8878.30183581
Change in NAV,Data,Change in Interest Accruals,-16579.3997011
Change in NAV,Data,Commissions,-30.3418066
Change in NAV,Data,Other FX Translations,51.4752086
Change in NAV,Data,Ending Value,66298758.242438644
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 31JAN25 115 P,0,-20,--,0.2900,0,2732,-14.2328736,0,2717.7671264,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 31JAN25 119 P,0,-10,--,0.5550,0,2180,-7.156433,0,2172.843567,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 16JAN26 110 C,0,10,--,36.1282,0,5278.2,-6.9525,0,5271.2475,
Mark-to-Market Performance Summary,Data,Total,,,,,,0,10190.2,-28.3418066,0,10161.8581934,
Mark-to-Market Performance Summary,Data,Forex,CAD,0.000004515,0.000004515,0.69571,0.69436,-0.00000001,0,0,0,-0.00000001,
Mark-to-Market Performance Summary,Data,Forex,CHF,-0.000029287,-0.000029287,1.1086,1.1061,0.00000007,0,0,0,0.00000007,
Mark-to-Market Performance Summary,Data,Forex,EUR,-789.237642087,15.762357913,1.0492,1.0431,4.81434962,0,0,0,4.81434962,
Mark-to-Market Performance Summary,Data,Forex,HKD,24362373.34479098,24362373.34479098,0.1284,0.12837,-730.87120034,0,0,0,-730.87120034,
Mark-to-Market Performance Summary,Data,Forex,JPY,8382294.1343547,8382294.1343547,0.0064719,0.0064295,-355.4092713,0,0,0,-355.4092713,
Mark-to-Market Performance Summary,Data,Forex,MXN,-0.00382842,-0.00382842,0.048375,0.048649,-0.00000105,0,0,0,-0.00000105,
Mark-to-Market Performance Summary,Data,Forex,SEK,0.000335185,0.000335185,0.091445,0.090924,-0.00000017,0,0,0,-0.00000017,
Mark-to-Market Performance Summary,Data,Forex,SGD,65369.41671682,65369.41671682,0.7437,0.74017,-230.75404101,0,0,0,-230.75404101,
Mark-to-Market Performance Summary,Data,Forex,USD,63537692.7198232,63512020.0045166,1.0000,1.0000,0,0.322,-2,0,-1.678,
Mark-to-Market Performance Summary,Data,Total,,,,,,-1312.22016419,0.322,-2,0,-1313.89816419,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,-1312.22016419,10190.522,-30.3418066,0,8847.96002921,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 31JAN25 115 P,0,0,0,0,0,0,2717.767127,0,0,0,2717.767127,2717.767127,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 31JAN25 119 P,0,0,0,0,0,0,2172.843566,0,0,0,2172.843566,2172.843566,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 16JAN26 110 C,0,0,0,0,0,0,5271.2475,0,0,0,5271.2475,5271.2475,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,10161.858193,0,0,0,10161.858193,10161.858193,
Realized & Unrealized Performance Summary,Data,Forex,EUR,0,37.476698,-0.019357,0,0,37.457341,0,-0.032856,0,0,-0.032856,37.424485,
Realized & Unrealized Performance Summary,Data,Forex,HKD,0,0,0,0,0,0,0,-730.8712,0,0,-730.8712,-730.8712,
Realized & Unrealized Performance Summary,Data,Forex,JPY,0,0,0,0,0,0,0,-355.40927,0,0,-355.40927,-355.40927,
Realized & Unrealized Performance Summary,Data,Forex,SGD,0,0,0,0,0,0,0,-230.754041,0,0,-230.754041,-230.754041,
Realized & Unrealized Performance Summary,Data,Total,,0,37.476698,-0.019357,0,0,37.457341,0,-1317.067389,0,0,-1317.067389,-1279.610048,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,37.476698,-0.019357,0,0,37.457341,10161.858193,-1317.067389,0,0,8844.790804,8882.248145,
Month & Year to Date Performance Summary,Header,Asset Category,Symbol,Description,Mark-to-Market MTD,Mark-to-Market YTD,Realized S/T MTD,Realized S/T YTD,Realized L/T MTD,Realized L/T YTD
Month & Year to Date Performance Summary,Data,Stocks,FPE,FT-PREFERRED SECUR & INC ETF,-5051.31383672,-5051.31383672,-47226.58377572,-47226.58377572,0,0
Month & Year to Date Performance Summary,Data,Stocks,GLD,SPDR GOLD SHARES,824041.969024,824041.969024,1977107.490256,1977107.490256,0,0
Month & Year to Date Performance Summary,Data,Stocks,GOOG,ALPHABET INC-CL C,18126.38532094,18126.38532094,35703.08670644,35703.08670644,0,0
Month & Year to Date Performance Summary,Data,Stocks,GS,GOLDMAN SACHS GROUP INC,116388.41602177,116388.41602177,90145.04592977,90145.04592977,0,0
Month & Year to Date Performance Summary,Data,Stocks,HES,HESS CORP,78063.99161625,78063.99161625,-83032.27274375,-83032.27274375,0,0
Month & Year to Date Performance Summary,Data,Stocks,IAUM,ISHARES GOLD TRUST MICRO,72817.6510125,72817.6510125,212415.9004375,212415.9004375,0,0
Month & Year to Date Performance Summary,Data,Stocks,IBIT,ISHARES BITCOIN TRUST ETF,241794.78368077,241794.78368077,936634.22103279,936634.22103279,0,0
Month & Year to Date Performance Summary,Data,Stocks,ICE,INTERCONTINENTAL EXCHANGE IN,5371.13499356,5371.13499356,-3541.07957844,-3541.07957844,0,0
Month & Year to Date Performance Summary,Data,Stocks,IGV,ISHARES EXPANDED TECH-SOFTWA,-1234.56512508,-1234.56512508,-59897.75848108,-59897.75848108,0,0
Month & Year to Date Performance Summary,Data,Stocks,IJH,ISHARES CORE S&P MID-CAP ETF,161334.80753181,161334.80753181,138171.06733735,138171.06733735,0,0
Month & Year to Date Performance Summary,Data,Stocks,ISTB,ISHARES CORE 1-5 YEAR USD BO,-1327.1649855,-1327.1649855,356.7342365,356.7342365,0,0
Month & Year to Date Performance Summary,Data,Stocks,IWM,ISHARES RUSSELL 2000 ETF,222595.74409485,222595.74409485,597259.67116785,597259.67116785,0,0
Month & Year to Date Performance Summary,Data,Stocks,JPM,JPMORGAN CHASE & CO,90535.99130897,90535.99130897,98489.28988597,98489.28988597,0,0
Month & Year to Date Performance Summary,Data,Stocks,KO,COCA-COLA CO/THE,-3466.00633525,-3466.00633525,-8012.84759725,-8012.84759725,0,0
Month & Year to Date Performance Summary,Data,Stocks,LLY,ELI LILLY & CO,1505.07565457,1505.07565457,-57108.28684143,-57108.28684143,0,0
Month & Year to Date Performance Summary,Data,Stocks,LQD,ISHARES IBOXX INVESTMENT GRA,14702.75581865,14702.75581865,-17341.82630493,-17341.82630493,-38811.40142842,-38811.40142842
Month & Year to Date Performance Summary,Data,Stocks,MBB,ISHARES MBS ETF,1449.0805,1449.0805,-2699.492669,-2699.492669,0,0
Month & Year to Date Performance Summary,Data,Stocks,MCD,MC DONALD'S-CORP,-81042.51215695,-81042.51215695,-60540.04193726,-60540.04193726,0,0
Month & Year to Date Performance Summary,Data,Stocks,MSFT,MICROSOFT CORP,19778.28327209,19778.28327209,4716.1198491,4716.1198491,0,0
Month & Year to Date Performance Summary,Data,Stocks,NVDA,NVIDIA CORP,-734055.04719469,-734055.04719469,975547.59784829,975547.59784829,0,0
Month & Year to Date Performance Summary,Data,Stocks,ORCL,ORACLE CORP,27411.42016202,27411.42016202,18512.29032702,18512.29032702,0,0
Month & Year to Date Performance Summary,Data,Stocks,PANW,PALO ALTO NETWORKS INC,4843.6169719,4843.6169719,-10131.7625751,-10131.7625751,0,0
Month & Year to Date Performance Summary,Data,Stocks,PDD,PDD HOLDINGS INC,127517.85662793,127517.85662793,-241841.12726548,-241841.12726548,0,0
Month & Year to Date Performance Summary,Data,Stocks,PLTR,PALANTIR TECHNOLOGIES INC-A,495.09685672,495.09685672,-303.64977728,-303.64977728,0,0
Month & Year to Date Performance Summary,Data,Stocks,QQQ,INVESCO QQQ TRUST SERIES 1,548776.24983358,548776.24983358,2202240.03978059,2202240.03978059,0,0
Month & Year to Date Performance Summary,Data,Stocks,RSP,INVESCO S&P 500 EQUAL WEIGHT,-20381.28259229,-20381.28259229,-15774.98047529,-15774.98047529,0,0
Month & Year to Date Performance Summary,Data,Stocks,RTX,RTX CORP,42935.69898327,42935.69898327,-3477.05387973,-3477.05387973,0,0
Month & Year to Date Performance Summary,Data,Stocks,SE,SEA LTD-ADR,-2149.13912324,-2149.13912324,58585.51806176,58585.51806176,0,0
Month & Year to Date Performance Summary,Data,Stocks,SHYD,VANECK SH HI YLD MUNI,-869.666616,-869.666616,-1332.865612,-1332.865612,0,0
Month & Year to Date Performance Summary,Data,Stocks,SNOW,SNOWFLAKE INC-CLASS A,2101.33614579,2101.33614579,3164.05133879,3164.05133879,0,0
Month & Year to Date Performance Summary,Data,Stocks,STIP,ISHARES 0-5 YEAR TIPS BOND E,10647.2199894,10647.2199894,10979.5910254,10979.5910254,0,0
Month & Year to Date Performance Summary,Data,Stocks,TLT,ISHARES 20+ YEAR TREASURY BD,15064.15865495,15064.15865495,-445425.77603404,-445425.77603404,0,0
Month & Year to Date Performance Summary,Data,Stocks,TSM,TAIWAN SEMICONDUCTOR-SP ADR,603004.68685645,603004.68685645,1980535.85674044,1980535.85674044,0,0
Month & Year to Date Performance Summary,Data,Stocks,USHY,ISHARES BROAD USD HIGH YIELD,20830.56031309,20830.56031309,19692.45743234,19692.45743234,12563.00324675,12563.00324675
Month & Year to Date Performance Summary,Data,Stocks,VCIT,VANGUARD INT-TERM CORPORATE,12775.82505728,12775.82505728,-4341.03724491,-4341.03724491,-5269.62897182,-5269.62897182
Month & Year to Date Performance Summary,Data,Stocks,VKTX,VIKING THERAPEUTICS INC,-11963.2299484,-11963.2299484,-85248.86095713,-85248.86095713,0,0
Month & Year to Date Performance Summary,Data,Stocks,XHB,SPDR S&P HOMEBUILDERS ETF,34730.49610703,34730.49610703,-40513.51876197,-40513.51876197,0,0
Month & Year to Date Performance Summary,Data,Stocks,XLE,ENERGY SELECT SECTOR SPDR,251034.54463796,251034.54463796,-290424.98972005,-290424.98972005,0,0
Month & Year to Date Performance Summary,Data,Stocks,XLF,FINANCIAL SELECT SECTOR SPDR,250295.39198019,250295.39198019,1550328.90398219,1550328.90398219,0,0
Month & Year to Date Performance Summary,Data,Stocks,XLK,TECHNOLOGY SELECT SECT SPDR,69693.98527322,69693.98527322,465690.78730922,465690.78730922,0,0
Month & Year to Date Performance Summary,Data,Stocks,XLU,UTILITIES SELECT SECTOR SPDR,14427.085485,14427.085485,-14122.691501,-14122.691501,0,0
Month & Year to Date Performance Summary,Data,Stocks,XLV,HEALTH CARE SELECT SECTOR,174631.96211392,174631.96211392,-203164.00606008,-203164.00606008,0,0
Month & Year to Date Performance Summary,Data,Stocks,XME,SPDR S&P METALS & MINING ETF,37137.23975466,37137.23975466,-60894.87391134,-60894.87391134,0,0
Month & Year to Date Performance Summary,Data,Stocks,XSW,SPDR S&P SOFTWARE & SER ETF,7398.03643905,7398.03643905,-22500.38615795,-22500.38615795,0,0
Month & Year to Date Performance Summary,Data,Stocks,Z74,SINGAPORE TELECOMMUNICATIONS,17234.813952,17234.813952,12580.85791925,12580.85791925,0,0
Month & Year to Date Performance Summary,Data,Total,,,3466422.451870739,3466422.451870739,10294985.230774557,10294985.230774557,386946.95644362,386946.95644362
Month & Year to Date Performance Summary,Data,Equity and Index Options,BYD JAN25 245 P W17,1211 17JAN25 245 P,1566.167565,1566.167565,1566.39002,1566.39002,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,BYD JAN25 280 C W24,1211 24JAN25 280 C,2193.389021,2193.389021,2194.145594,2194.145594,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,BYD JAN25 300 C,1211 27JAN25 300 C,706.89056,706.89056,706.4568,706.4568,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,MIU JAN25 35 P,1810 27JAN25 35 P,456.55488,456.55488,456.3336,456.3336,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,ANA JAN25 85 C,2020 27JAN25 85 C,285.63656,285.63656,285.5616,285.5616,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,HCF FEB25 80 C,2828 27FEB25 80 C,-704.2322,-704.2322,-704.916,-704.916,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,TCH JAN25 360 P W17,700 17JAN25 360 P,492.76506,492.76506,492.82428,492.82428,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,TCH JAN25 370 P,700 27JAN25 370 P,595.16808,595.16808,596.2896,596.2896,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,TCH JAN25 380 P,700 27JAN25 380 P,1041.64248,1041.64248,1043.1216,1043.1216,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,TCH FEB25 370 P,700 27FEB25 370 P,603.982296,603.982296,603.91656,603.91656,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,CHT JAN25 75 C,941 27JAN25 75 C,-433.49096,-433.49096,-432.9648,-432.9648,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,JDC JAN25 160 C,9618 27JAN25 160 C,1680.7658,1680.7658,1681.0128,1681.0128,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,ALB JAN25 90 C,9988 27JAN25 90 C,519.50246,519.50246,519.2496,519.2496,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,AMAT  250131P00187500,AMAT 31JAN25 187.5 P,-11391.697932,-11391.697932,-11391.697932,-11391.697932,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,AMZN  250131C00242500,AMZN 31JAN25 242.5 C,891.73096,891.73096,891.73096,891.73096,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,ANF   250103P00155000,ANF 03JAN25 155 P,725.139645,725.139645,725.139645,725.139645,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,ANF   250110P00155000,ANF 10JAN25 155 P,2056.437532,2056.437532,2056.437532,2056.437532,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,ANF   250110C00157500,ANF 10JAN25 157.5 C,1551.39371,1551.39371,0,0,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,ANF   250124P00127000,ANF 24JAN25 127 P,576.443815,576.443815,0,0,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,ASML  250103P00680000,ASML 03JAN25 680 P,1422.35,1422.35,649.64823,649.64823,0,0
Month & Year to Date Performance Summary,Data,Equity and Index Options,ASML  250124C00790000,ASML 24JAN25 790 C,1201.42644,1201.42644,1201.42644,1201.42644,0,0
